ティッカー,銘柄名,四季報総合順位,型内順位,業績急伸型スコア,年間上昇率,四半期上昇率,上昇トレンド滑らかさ,最大下落率,OCR予想PER,OCRPBR,OCRROE,OCRROA,OCR総利回り
4013.T,勤次郎,4,3,1.0,199.5121951219512,47.427983539094654,0.9413545203061848,13.83838383838384,23.5,1.79,5.0,3.6,
4016.T,ＭＩＴホールディングス,1,1,0.9888888888888888,34.48275862068966,48.41363102232668,0.7588404488383423,16.913580246913583,10.2,2.53,20.5,5.1,
6044.T,三機サービス,44,22,0.9777777777777776,112.02854230377169,60.36745406824146,0.7529931184808969,13.686313686313689,14.0,1.87,11.6,5.4,1.75
5016.T,ＪＸ金属,47,24,0.9666666666666668,124.25629290617849,138.21385176184688,0.5566769607459876,32.43523316062176,12.7,1.2,11.0,5.3,1.88
6231.T,木村工機,2,2,0.9555555555555556,101.30505709624798,23.4375,0.9580363066588486,19.00237529691211,12.3,2.75,23.31,7.31,1.54
9551.T,メタウォーター,13,7,0.9444444444444444,88.72686483454852,37.26820443238354,0.7753169207420331,12.681704260651628,12.1,1.12,9.2,3.5,2.69
8393.T,宮崎銀行,20,10,0.9333333333333332,109.95184590690208,26.03305785123966,0.8133093569337577,27.525035765379112,5.4,5.0,5.1,0.2,3.46
7013.T,ＩＨＩ,54,29,0.9222222222222224,119.08304962724588,22.82263381983436,0.9089719222611136,25.338411802633697,17.7,4.4,26.31,5.0,1.0
6039.T,日本動物高度医療センター,17,9,0.9,149.6812547302732,88.93203883495147,0.6587126433572245,19.730618783585165,11.9,1.52,13.1,5.9,1.64
8368.T,百五銀行,16,8,0.8888888888888888,81.61648177496036,31.46551724137932,0.8061724426302093,27.55102040816326,9.3,5.0,3.9,0.2,
8524.T,北洋銀行,11,5,0.8666666666666667,86.784140969163,29.238754325259507,0.8586928948690175,33.81294964028777,88.0,5.0,5.0,0.2,
6648.T,かわでん,26,13,0.8444444444444444,386.5487857827969,80.32036613272311,0.847729528176882,14.928572518484929,8.5,5.0,11.6,7.7,4.26
1965.T,テクノ菱和,32,17,0.8333333333333334,145.92592592592592,30.52631578947369,0.8388076945138092,38.52071005917159,9.5,1.31,14.21,9.1,
1980.T,ダイダン,12,6,0.8,94.19607843137254,37.55555013020832,0.8080618634638292,23.425696587144785,10.2,1.67,17.4,2.0,3.97
319A.T,技術承継機構,65,35,0.7888888888888889,208.4375,33.80281690140845,0.4845363145413895,38.53448275862069,34.1,7.46,26.1,5.8,
8522.T,名古屋銀行,30,16,0.7777777777777778,102.55813953488372,34.65909090909092,0.825870454367422,32.57211340602327,8.5,0.47,5.1,0.3,3.82
4635.T,東京インキ,55,30,0.7666666666666667,112.27810650887574,69.6969696969697,0.8204016725747794,19.532163742690056,7.8,5.0,4.4,2.3,5.02
4838.T,スペースシャワーＳＫＩＹＡＫＩホールディングス,64,34,0.7555555555555555,95.73934837092732,77.66990291262137,0.7918398039288413,22.088353413654616,12.0,1.13,4.8,1.8,2.92
8334.T,群馬銀行,49,25,0.7444444444444445,62.51175917215428,36.09394313967862,0.8405686397158622,26.513726965024443,9.1,0.79,7.7,0.4,4.28
7932.T,ニッピ,22,12,0.7333333333333333,139.40972222222223,18.32061068702291,0.7368083468082753,19.855305466237937,10.8,0.7,6.3,2.5,1.0
