date,ticker,action,price,shares,reason,nikkei_phase
2025-10-15,2975.T,BUY,1125.635,100,q3_post_high_vol_entry,high_vol
2025-10-15,7235.T,BUY,1240.33,100,q3_post_high_vol_entry,high_vol
2025-10-15,3449.T,BUY,1614.8649999999998,100,q3_post_high_vol_entry,high_vol
2025-10-15,1861.T,BUY,1313.4099999999999,100,q3_post_high_vol_entry,high_vol
2025-10-15,6488.T,BUY,939.8899999999999,100,q3_post_high_vol_entry,high_vol
2025-10-15,6091.T,BUY,842.4499999999999,200,q3_post_high_vol_entry,high_vol
2025-10-15,8550.T,BUY,476.0,400,q3_post_high_vol_entry,high_vol
2025-10-15,3277.T,BUY,1316.455,100,q3_post_high_vol_entry,high_vol
2025-10-15,1815.T,BUY,3471.2999999999997,100,q3_post_high_vol_entry,high_vol
2025-10-15,1847.T,BUY,3565.0,100,q3_post_high_vol_entry,high_vol
2025-10-15,2415.T,BUY,1928.4999999999998,200,q3_post_high_vol_entry,high_vol
2025-10-15,3467.T,BUY,2219.0,300,q3_post_high_vol_entry,high_vol
2025-10-16,1861.T,SELL,1333.0,100,sell_signal,high_vol
2025-10-16,6091.T,SELL,855.0,200,sell_signal,high_vol
2025-10-16,8550.T,SELL,485.0,400,sell_signal,high_vol
2025-10-16,3277.T,SELL,1413.0,100,sell_signal,high_vol
2025-10-16,1815.T,SELL,3585.0,100,sell_signal,high_vol
2025-10-16,1847.T,SELL,3665.0,100,sell_signal,high_vol
2025-10-16,2415.T,SELL,1971.0,200,sell_signal,high_vol
2025-10-16,3467.T,SELL,2274.0,300,sell_signal,high_vol
2025-10-16,5602.T,BUY,1860.495,100,q3_post_high_vol_entry,high_vol
2025-10-16,4320.T,BUY,917.0,200,q3_post_high_vol_entry,high_vol
2025-10-16,2918.T,BUY,3293.6749999999997,100,q3_post_high_vol_entry,high_vol
2025-10-21,1997.T,BUY,3319.0499999999997,500,q3_post_high_vol_entry,high_vol
2025-10-22,2975.T,SELL,1189.0,100,sell_signal,surge
2025-10-22,7235.T,SELL,1256.0,100,sell_signal,surge
2025-10-22,3449.T,SELL,1677.0,100,sell_signal,surge
2025-10-22,6488.T,SELL,980.0,100,sell_signal,surge
2025-10-22,5602.T,SELL,1848.0,100,sell_signal,surge
2025-10-22,4320.T,SELL,977.0,200,sell_signal,surge
2025-10-22,2918.T,SELL,3255.0,100,sell_signal,surge
2025-10-22,1997.T,SELL,3430.0,500,sell_signal,surge
2025-10-23,4320.T,BUY,1026.0,100,q3_post_high_vol_entry,high_vol
2025-10-28,4320.T,SELL,1100.0,100,sell_signal,surge
2025-11-06,4691.T,BUY,1527.5749999999998,100,q3_post_high_vol_entry,high_vol
2025-11-06,1861.T,BUY,1456.5249999999999,100,q3_post_high_vol_entry,high_vol
2025-11-06,3449.T,BUY,1755.0,100,q3_post_high_vol_entry,high_vol
2025-11-06,3671.T,BUY,395.84999999999997,700,q3_post_high_vol_entry,high_vol
2025-11-06,3186.T,BUY,2433.97,100,q3_post_high_vol_entry,high_vol
2025-11-06,2286.T,BUY,719.6349999999999,400,q3_post_high_vol_entry,high_vol
2025-11-06,8040.T,BUY,1089.0,200,q3_post_high_vol_entry,high_vol
2025-11-06,3477.T,BUY,891.0,900,q3_post_high_vol_entry,high_vol
2025-11-07,4691.T,SELL,1541.0,100,sell_signal,high_vol
2025-11-07,1980.T,BUY,2320.966749267578,100,q3_post_high_vol_entry,high_vol
2025-11-10,3671.T,SELL,394.0,700,pre_earnings_exit,high_vol
2025-11-10,3186.T,SELL,2519.0,100,sell_signal,high_vol
2025-11-10,1980.T,SELL,2256.666748046875,100,sell_signal,high_vol
2025-11-10,2970.T,BUY,1186.5349999999999,1200,q3_post_high_vol_entry,high_vol
2025-11-11,3449.T,SELL,1751.0,100,pre_earnings_exit,high_vol
2025-11-11,2970.T,SELL,1104.0,1200,stop_loss,high_vol
2025-11-12,1861.T,SELL,1505.0,100,pre_earnings_exit,high_vol
2025-11-12,3477.T,SELL,861.0,900,pre_earnings_exit,high_vol
2025-11-12,8002.T,BUY,3958.4999999999995,600,q3_post_high_vol_entry,high_vol
2025-11-13,2286.T,SELL,723.0,400,pre_earnings_exit,high_vol
2025-11-13,8040.T,SELL,1064.0,200,pre_earnings_exit,high_vol
2025-11-13,6994.T,BUY,810.0,200,q3_post_high_vol_entry,high_vol
2025-11-13,1861.T,BUY,1551.935,100,q3_post_high_vol_entry,high_vol
2025-11-13,3477.T,BUY,869.8549999999999,300,q3_post_high_vol_entry,high_vol
2025-11-14,6994.T,SELL,812.0,200,sell_signal,high_vol
2025-11-14,1861.T,SELL,1454.0,100,stop_loss,high_vol
2025-11-14,3477.T,SELL,855.0,300,sell_signal,high_vol
2025-11-20,3449.T,BUY,1824.0,100,condition2_entry,normal
2025-11-25,9823.T,BUY,1458.0,300,condition2_entry,normal
2025-11-27,9823.T,SELL,1495.0,300,sell_signal,normal
2025-11-28,9823.T,BUY,1517.425,300,condition2_entry,normal
2025-12-01,9823.T,SELL,1474.0,300,sell_signal,normal
2025-12-08,8002.T,SELL,4333.0,600,take_profit,normal
2025-12-10,3449.T,SELL,1992.0,100,take_profit,normal
2025-12-15,1893.T,BUY,1595.0724999999998,200,condition2_entry,normal
2025-12-15,3020.T,BUY,4690.0,200,condition2_entry,normal
2025-12-15,3236.T,BUY,296.38,3300,condition2_entry,normal
2025-12-15,8065.T,BUY,2254.3149999999996,400,condition2_entry,normal
